time,CTPCBC_制动_空压机组1运行,CTPCBC_制动_空压机组2运行,BC1CT_制动_A1车B1架制动施加
2020-07-16 21:02:51.159,0.0,0.0,1.0
2020-07-16 21:02:51.766,0.0,0.0,1.0
2020-07-16 21:02:51.918,0.0,0.0,1.0
2020-07-16 21:02:52.521,0.0,0.0,1.0
2020-07-16 21:02:52.666,0.0,0.0,1.0
2020-07-16 21:02:53.227,0.0,0.0,1.0
2020-07-16 21:02:53.395,0.0,0.0,1.0
2020-07-16 21:02:54.002,0.0,0.0,1.0
2020-07-16 21:02:54.177,0.0,0.0,1.0
2020-07-16 21:02:54.736,0.0,0.0,1.0
2020-07-16 21:02:54.913,0.0,0.0,1.0
2020-07-16 21:02:55.492,0.0,0.0,1.0
2020-07-16 21:02:55.669,0.0,0.0,1.0
2020-07-16 21:02:56.258,0.0,0.0,1.0
2020-07-16 21:02:56.433,0.0,0.0,1.0
2020-07-16 21:02:56.997,0.0,0.0,1.0
2020-07-16 21:02:57.161,0.0,0.0,1.0
2020-07-16 21:02:57.744,0.0,0.0,1.0
2020-07-16 21:02:57.930,0.0,0.0,1.0
2020-07-16 21:02:58.478,0.0,0.0,1.0
2020-07-16 21:02:58.657,0.0,0.0,1.0
2020-07-16 21:02:59.243,0.0,0.0,1.0
2020-07-16 21:02:59.398,0.0,0.0,1.0
2020-07-16 21:03:00.000,0.0,0.0,1.0
2020-07-16 21:03:00.155,0.0,0.0,1.0
2020-07-16 21:03:00.761,0.0,0.0,1.0
2020-07-16 21:03:00.912,0.0,0.0,1.0
2020-07-16 21:03:01.487,0.0,0.0,1.0
2020-07-16 21:03:01.707,0.0,0.0,1.0
2020-07-16 21:03:02.252,0.0,0.0,1.0
2020-07-16 21:03:02.418,0.0,0.0,1.0
2020-07-16 21:03:03.006,0.0,0.0,1.0
2020-07-16 21:03:03.175,0.0,0.0,1.0
2020-07-16 21:03:03.723,0.0,0.0,1.0
2020-07-16 21:03:03.919,0.0,0.0,1.0
2020-07-16 21:03:04.501,0.0,0.0,1.0
2020-07-16 21:03:04.643,0.0,0.0,1.0
2020-07-16 21:03:05.247,0.0,0.0,1.0
2020-07-16 21:03:05.441,0.0,0.0,1.0
2020-07-16 21:03:05.986,0.0,0.0,1.0
2020-07-16 21:03:06.136,0.0,0.0,1.0
2020-07-16 21:03:06.763,0.0,0.0,1.0
2020-07-16 21:03:06.898,0.0,0.0,1.0
2020-07-16 21:03:07.571,0.0,0.0,1.0
2020-07-16 21:03:07.662,0.0,0.0,1.0
2020-07-16 21:03:08.264,0.0,0.0,1.0
2020-07-16 21:03:08.417,0.0,0.0,1.0
2020-07-16 21:03:09.006,0.0,0.0,1.0
2020-07-16 21:03:09.171,0.0,0.0,1.0
2020-07-16 21:03:09.735,0.0,0.0,1.0
2020-07-16 21:03:09.906,0.0,0.0,1.0
2020-07-16 21:03:10.510,0.0,0.0,1.0
2020-07-16 21:03:10.637,0.0,0.0,1.0
2020-07-16 21:03:11.250,0.0,0.0,1.0
2020-07-16 21:03:11.391,0.0,0.0,1.0
2020-07-16 21:03:12.004,0.0,0.0,1.0
2020-07-16 21:03:12.159,0.0,0.0,1.0
2020-07-16 21:03:12.759,0.0,0.0,1.0
2020-07-16 21:03:12.940,0.0,0.0,1.0
2020-07-16 21:03:13.484,0.0,0.0,1.0
2020-07-16 21:03:13.645,0.0,0.0,1.0
2020-07-16 21:03:14.240,0.0,0.0,1.0
